config,pid,pin,dim,repeat,seed,budget_scale,rpr,f1,score,precision,n_sol,used_eval,elapsed_sec,control,mrmc_relation_uses,mrmc_maximin_selections,mrmc_random_selections,mrmc_terminal_memory_peak,mrmc_persistent_guidance_uses,mrmc_sparse_guidance_uses,mrmc_working_memory_peak,mrmc_evidence_observed,mrmc_working_additions,mrmc_working_promotions
RMC-NoMaximin,6,1,20,1,2087795920,1.0,0.35,0.5185185185185185,0.43425925925925923,1.0,7,399950,181.488,no_maximin,171,0,174,73,166,2,16,76155,16,0
RMC-NoMaximin,6,1,20,2,4027479527,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,4,399941,183.286,no_maximin,117,0,120,13,109,2,59,76480,59,0
RMC-NoMaximin,1,1,20,2,2220656915,1.0,0.35,0.5185185185185185,0.43425925925925923,1.0,7,399940,391.902,no_maximin,80,0,82,73,79,1,2,76390,2,0
RMC-NoMaximin,6,1,20,4,149845851,1.0,0.3,0.4615384615384615,0.38076923076923075,1.0,6,399942,168.712,no_maximin,137,0,140,41,137,2,16,75835,16,0
RMC-NoMaximin,6,1,20,3,3248997195,1.0,0.3,0.4615384615384615,0.38076923076923075,1.0,6,399944,181.156,no_maximin,180,0,183,58,167,2,44,75830,44,0
RMC-NoMaximin,6,1,20,5,2548412932,1.0,0.25,0.4,0.325,1.0,5,399931,185.315,no_maximin,170,0,172,46,162,1,60,76075,60,0
RMC-NoMaximin,6,1,20,6,2704015161,1.0,0.3,0.4615384615384615,0.38076923076923075,1.0,6,399927,191.492,no_maximin,149,0,151,33,148,1,39,76275,39,0
RMC-NoMaximin,6,1,20,8,4147807468,1.0,0.1,0.18181818181818182,0.14090909090909093,1.0,2,399959,192.496,no_maximin,92,0,95,4,89,2,60,76575,60,0
RMC-NoMaximin,6,1,20,10,2307588622,1.0,0.3,0.4615384615384615,0.38076923076923075,1.0,6,399925,172.995,no_maximin,126,0,130,47,125,3,11,75990,11,0
RMC-NoMaximin,10,1,20,6,279444466,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399960,126.882,no_maximin,253,0,262,110,260,8,6,75925,6,0
RMC-NoMaximin,10,1,20,7,4176439215,1.0,0.5,0.6666666666666666,0.5833333333333333,1.0,5,399935,164.31,no_maximin,265,0,274,140,272,8,1,75890,1,0
RMC-NoMaximin,10,1,20,8,3310611219,1.0,0.5,0.6666666666666666,0.5833333333333333,1.0,5,399953,137.266,no_maximin,280,0,287,143,285,6,1,75855,1,0
RMC-NoMaximin,10,1,20,9,3625317039,1.0,0.5,0.6666666666666666,0.5833333333333333,1.0,5,399937,127.57,no_maximin,274,0,277,137,275,2,1,75855,1,0
RMC-NoMaximin,14,1,20,1,1021354410,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399962,117.212,no_maximin,83,0,85,37,80,1,1,76660,1,0
RMC-NoMaximin,14,1,20,2,2289296825,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399969,123.91,no_maximin,48,0,50,4,29,1,53,76745,53,0
