dimension,seed,representatives,total_candidates_per_condition,relation_candidates,shared_uniform_candidates,relation_clipped_candidate_fraction,relation_clipped_coordinate_fraction,uniform_distance_contrast_mean,uniform_clearance_cv,combined_clearance_cv,uniform_selected_clearance_over_sqrt_d,combined_selected_clearance_over_sqrt_d,paired_clearance_difference_over_sqrt_d,combined_selected_relation,combined_selected_on_boundary,mean_relation_edge_length_over_sqrt_d,relation_edges,uniform_propose_seconds,combined_propose_seconds
2,16,16,8,4,4,0.25,0.125,1.4788458426638842,0.7180425588946471,0.505154343816734,0.24453036821333185,0.15931154614984158,-0.08521882206349025,0,0,0.09270444572777371,10,4.1399995097890496e-05,0.00016300001880154014
2,17,16,8,4,4,0.0,0.0,1.6097400893981413,0.3973614245296983,0.4035755206325496,0.11651914119660077,0.14673302594737458,0.030213884750773808,1,0,0.11089156943372563,9,6.44999963697046e-05,0.00013540001236833632
2,18,16,8,4,4,0.0,0.0,1.4539100454235316,0.4843154214640431,0.5602914179960514,0.21897895347318916,0.21897895347318916,0.0,0,0,0.10517816184641246,11,4.269997589290142e-05,0.00016220001270994544
2,19,16,8,4,4,0.25,0.125,1.465030426677945,0.7312211423010264,0.8490021850426351,0.21090427680127066,0.21090427680127066,0.0,0,0,0.12436948078126889,12,6.390002090483904e-05,0.0001370000245515257
5,0,16,50,25,25,0.6,0.16,0.8900818868835692,0.2893289334676177,0.3200232678691296,0.4007655162861205,0.3540738794001351,-0.04669163688598536,0,0,0.21987692088229532,11,5.0000002374872565e-05,0.00013840000610798597
5,1,16,50,25,25,0.52,0.136,0.9080883748507579,0.3676268522266774,0.3897310783794951,0.3311778780157463,0.31508075780481015,-0.016097120210936088,1,1,0.20328261889654617,13,8.120000711642206e-05,0.0001534000039100647
5,2,16,50,25,25,0.6,0.144,0.863670787113358,0.2604599037681891,0.2898554896713026,0.33647363266178326,0.3148200162830456,-0.021653616378737625,0,0,0.19503419185054055,11,5.569998756982386e-05,0.0001865000231191516
5,3,16,50,25,25,0.52,0.144,0.9498112281598545,0.2661637485442136,0.2370867754987423,0.30358120988260046,0.30358120988260046,0.0,0,0,0.23455567426726212,12,7.77999812271446e-05,0.00015669999993406236
5,4,16,50,25,25,0.6,0.192,0.8945056001163525,0.28145121288601693,0.30177068795753903,0.35556295015189643,0.35556295015189643,0.0,0,0,0.21225638634927588,12,5.7900004321709275e-05,0.00019630001042969525
5,5,16,50,25,25,0.56,0.136,0.8998598021232885,0.2943376669303341,0.30734208947551456,0.34525587419241793,0.2911561572315682,-0.054099716960849746,0,0,0.21110048425281294,12,8.220001473091543e-05,0.00016310001956298947
5,6,16,50,25,25,0.68,0.152,0.9259009855905522,0.2748566257507636,0.300353796380099,0.36180468415683353,0.3030145618171677,-0.058790122339665886,0,0,0.22725328543715004,12,6.100002792663872e-05,0.00017759998445399106
5,7,16,50,25,25,0.6,0.176,0.8988131223269101,0.2677714857045026,0.31913810775628965,0.3472959654206868,0.3472959654206868,0.0,0,0,0.23443631789544822,12,8.239998714998364e-05,0.00015089998487383127
5,8,16,50,25,25,0.76,0.16,0.9102624489977857,0.35285931242644775,0.29975181222647007,0.3818552508818128,0.3818552508818128,0.0,0,0,0.19487811339091327,9,5.600001895800233e-05,0.0001736000122036785
5,9,16,50,25,25,0.68,0.192,0.8260189943981956,0.27803970468626965,0.38545252889340004,0.41181913807057224,0.41181913807057224,0.0,0,0,0.17968472891872356,10,9.940000018104911e-05,0.00015380000695586205
5,10,16,50,25,25,0.6,0.152,0.9322362528625231,0.31086531724534505,0.32541378361183504,0.34824691992065404,0.34824691992065404,0.0,0,0,0.2313551463221985,11,5.780000356025994e-05,0.00030509999487549067
5,11,16,50,25,25,0.44,0.128,0.951439451672961,0.22343000787546768,0.2826413477967411,0.3003153963221519,0.27610151891852464,-0.024213877403627262,1,1,0.20704604666546308,11,8.249998791143298e-05,0.0002573999809101224
5,12,16,50,25,25,0.68,0.2,0.9314482793472653,0.2411418451718295,0.29618502377815403,0.36945520149897954,0.299812499838789,-0.06964270166019051,1,1,0.2625304759482388,12,5.6599994422867894e-05,0.00017740001203492284
5,13,16,50,25,25,0.8,0.208,0.9275473808026677,0.2626868862751399,0.2844654286347347,0.3157317519783681,0.3157317519783681,0.0,0,0,0.21208338523945616,10,7.879998884163797e-05,0.0001537000061944127
5,14,16,50,25,25,0.68,0.184,0.8829498898581118,0.22080487164927412,0.20374362385374767,0.2919345461243233,0.2821933380353082,-0.009741208089015048,0,0,0.2306214632857505,12,5.600001895800233e-05,0.00017889999435283244
5,15,16,50,25,25,0.72,0.216,0.8916192088866316,0.25561812419582586,0.3085855588907237,0.32655918321721894,0.32655918321721894,0.0,0,0,0.2198237783396067,13,7.749997894279659e-05,0.00015369997709058225
5,16,16,50,25,25,0.56,0.168,0.9346404627202719,0.29659020513007583,0.2898443497033114,0.32843608778398886,0.32843608778398886,0.0,0,0,0.24829922899588,11,5.77000027988106e-05,0.00017129999469034374
5,17,16,50,25,25,0.52,0.136,0.9151634265798632,0.29004244639007964,0.30888018124223476,0.3621278759624515,0.29432601550165716,-0.06780186046079437,0,0,0.2121654469564452,12,8.060000254772604e-05,0.00014899999951012433
5,18,16,50,25,25,0.44,0.112,0.9454210782620891,0.29263241612471536,0.2823071280705815,0.3296161858797103,0.3296161858797103,0.0,0,0,0.21094118492298625,11,5.520001286640763e-05,0.00017929999739862978
5,19,16,50,25,25,0.6,0.184,0.8808199022458162,0.32903177718051263,0.39730466313971935,0.37196649788310415,0.37196649788310415,0.0,0,0,0.20952134585643603,12,7.77999812271446e-05,0.00015619999612681568
10,0,16,200,100,100,0.9,0.21,0.6416263866678577,0.1701970888498479,0.18932216321341871,0.36965183548542035,0.36965183548542035,0.0,0,0,0.27991717216532386,13,0.00011399999493733048,0.00025729998014867306
10,1,16,200,100,100,0.97,0.242,0.6208815192705697,0.1883652128294579,0.19939466511535645,0.4037476290869288,0.4037476290869288,0.0,0,0,0.27267637939004924,10,0.0001343000039923936,0.0002334000018890947
